;papel;tipo;empresa;setor;cotacao;dt_ult_cotacao;min_52_sem;max_52_sem;vol_med;valor_mercado;valor_firma;ult_balanco_pro;nr_acoes;os_dia;pl;lpa;pvp;vpa;p_ebit;marg_bruta;psr;marg_ebit;p_ativo;marg_liquida;p_cap_giro;ebit_ativo;p_ativo_circ_liq;roic;div_yield;roe;ev_ebitda;liquidez_corr;ev_ebit;cres_rec;ativo;disponibilidades;ativo_circulante;divd_bruta;divd_liquida;patr_liquido;lucro_liquido_12m;lucro_liquido_3m
265;MILS3;ON NM;MILLS ON NM;Diversos;13,52;24/08/2023;8,43;13,76;11.505.800;3.330.100.000;3.852.350.000;30/06/2023;246309000;0.45;13.70;0.99;2.49;5.43;7.95;64.6;2.62;32.9;1.25;19.1;5.45;15.8;-8.91;20.7;2.1;18.2;6.29;2.83;9.20;47.4;2.657.410.000;522.976.000;944.345.000;1.045.230.000;522.256.000;1.337.060.000;243.026.000;64.056.000
266;MLAS3;ON NM;MULTILASER ON NM;Computadores e Equipamentos;3,49;24/08/2023;1,26;5,86;7.462.390;2.863.680.000;3.061.610.000;30/06/2023;820539000;0.00;-6.57;-0.53;0.76;4.58;-5.82;18.8;0.71;-12.3;0.44;-10.9;0.79;-7.6;1.18;-10.0;0.0;-11.6;-7.05;3.27;-6.22;07.9;6.515.220.000;901.775.000;5.196.640.000;1.099.710.000;197.931.000;3.754.480.000;-435.765.000;43.519.000
267;MNDL3;ON;MUNDIAL S/A ON;Tecidos, Vestuário e Calçados;50,02;24/08/2023;26,04;60,00;51.893;124.050.000;499.751.000;30/06/2023;2480000;-0.95;0.14;368.09;0.73;68.57;1.32;38.0;0.15;11.6;0.10;112.9;-0.75;7.3;-0.19;7.8;0.0;536.8;4.55;0.73;5.32;16.5;1.292.790.000;4.729.000;458.288.000;380.430.000;375.701.000;170.055.000;912.873.000;11.187.000
268;MNPR3;ON;MINUPAR ON;Alimentos Processados;17,19;24/08/2023;5,75;17,25;132.701;122.049.000;122.227.000;30/06/2023;7100000;5.01;-78.69;-0.22;-0.37;-46.09;1.85;28.2;0.32;17.2;0.38;-0.4;-0.33;20.4;-0.26;21.6;0.0;0.5;1.62;0.33;1.85;16.7;322.406.000;112.000;182.116.000;290.000;178.000;-327.213.000;-1.551.000;29.000
269;MOAR3;ON;MONTEIRO ARANHA ON;Holdings Diversificadas;320,00;24/08/2023;290,00;473,13;94.310;3.920.320.000;3.671.660.000;30/06/2023;12251000;3.23;4.73;67.59;2.52;127.00;-133.06;0;0;0;1.32;0.0;4.50;-1.0;-19.91;-1.6;3.5;53.2;-125.82;3.50;-124.62;-51.5;2.972.360.000;1.125.510.000;1.219.650.000;876.849.000;-248.661.000;1.555.850.000;828.071.000;541.839.000
270;MODL11;UNT N2;MODALMAIS UNT N2;Intermediários Financeiros;8,46;16/09/2022;8,06;9,24;0;1.985.840.000;-;31/03/2023;704200000;0.00;-21.05;-0.40;1.72;4.92;0;0;0;0;0;0.0;0;0.0;0;0;0.0;-8.2;0;0;0;-62.4;7.607.120.000;0;0;0;0;1.154.890.000;-94.344.000;-86.887.000
271;MOVI3;ON NM;MOVIDA ON NM;Diversos;13,77;24/08/2023;6,01;14,35;42.480.200;4.988.900.000;16.383.600.000;30/06/2023;362302000;-2.82;43.48;0.32;1.62;8.48;2.09;33.4;0.47;22.7;0.24;1.1;2.59;11.3;-0.38;13.6;3.1;3.7;4.26;1.63;6.86;35.7;21.069.900.000;2.577.870.000;4.977.150.000;13.972.600.000;11.394.700.000;3.072.100.000;114.733.000;-17.864.000
272;MRFG3;ON NM;Marfrig ON NM;Alimentos Processados;6,79;24/08/2023;6,11;12,58;71.405.200;4.481.400.000;48.017.300.000;30/06/2023;660000000;-1.02;-2.76;-2.46;1.11;6.14;2.08;11.1;0.03;1.6;0.04;-3.6;0.81;1.7;-0.07;2.3;13.4;-40.0;5.29;1.14;22.33;33.3;127.045.000.000;18.591.800.000;43.935.100.000;62.127.700.000;43.535.900.000;4.053.750.000;-1.621.010.000;-784.383.000
273;MRSA3B;ON MB;MRS LOGÍSTICA S/A ON MB;Transporte;26,00;18/11/2022;22,00;26,00;0;8.840.000.000;12.093.500.000;30/06/2023;340000000;0.00;8.43;3.08;1.47;17.63;4.23;42.7;1.49;35.3;0.60;17.7;-17.19;14.2;-1.36;16.2;0.0;17.5;5.78;0.81;5.78;14.2;14.712.700.000;1.225.070.000;2.206.140.000;4.478.570.000;3.253.500.000;5.994.930.000;1.048.110.000;335.378.000
274;MRSA5B;PNA MB;MRS LOGÍSTICA S/A PNA MB;Transporte;27,00;13/02/2023;22,06;28,00;0;9.180.000.000;12.433.500.000;30/06/2023;340000000;0.00;8.76;3.08;1.53;17.63;4.39;42.7;1.55;35.3;0.62;17.7;-17.85;14.2;-1.41;16.2;2.4;17.5;5.95;0.81;5.95;14.2;14.712.700.000;1.225.070.000;2.206.140.000;4.478.570.000;3.253.500.000;5.994.930.000;1.048.110.000;335.378.000
