Date;Close;High;Low;Open;Volume;ret;tret;Returns;Target;Vol;MM20;Detrend
2024-08-30;15.182092666625977;15.560594249549686;15.182092666625977;15.215737964795247;3000;0.28;-23.929999999999993;0.002777742783210302;-0.01717445022726105;0.1891;14.938170576095581;0.24392209053039515
2024-09-02;14.921348571777344;15.459660527914826;14.904525922074004;15.182093224994414;8100;-1.72;-25.64999999999999;-0.01717445022726105;0.011273942603709841;0.1885;14.957095575332641;-0.03574700355529714
2024-09-03;15.089570999145508;15.173682638566277;15.039103052915394;15.173682638566277;5000;1.13;-24.519999999999992;0.011273942603709841;0.001114863699064772;0.1895;14.977282333374024;0.11228866577148366
2024-09-04;15.106393814086914;15.16527309158946;14.96340609589812;15.09798409302568;2500;0.11;-24.409999999999993;0.001114863699064772;-0.004454425518058414;0.1894;14.996627902984619;0.10976591110229528
2024-09-05;15.039103507995605;15.224149441179968;15.039103507995605;15.17368309771884;4200;-0.45;-24.859999999999992;-0.004454425518058414;0.00782998067870011;0.1898;15.008403491973876;0.030700016021729226
2024-09-06;15.156859397888184;15.224148385937683;15.089570409838682;15.165270721931373;7600;0.78;-24.07999999999999;0.00782998067870011;0.0;0.1774;15.010926771163941;0.14593262672424245
2024-09-09;15.156859397888184;15.392370053913423;15.123214101715421;15.148448073844992;6400;0.0;-24.07999999999999;0.0;-0.0033295541296833875;0.1649;15.026487350463867;0.1303720474243164
2024-09-10;15.106393814086914;15.897040750433533;15.106393814086914;15.156861766231954;6800;-0.33;-24.40999999999999;-0.0033295541296833875;0.003897488175971464;0.1518;15.025646257400513;0.08074755668640066
2024-09-11;15.165270805358887;15.165270805358887;14.988636208072228;15.140036833090498;1300;0.39;-24.01999999999999;0.003897488175971464;0.0;0.1165;15.047515106201171;0.11775569915771555
2024-09-12;15.165270805358887;15.165270805358887;14.971813559893302;15.156859481269423;3100;0.0;-24.01999999999999;0.0;-0.0016638851400448962;0.1112;15.061393451690673;0.1038773536682136
2024-09-13;15.140037536621094;15.148448861101416;15.013870878008472;15.013870878008472;5000;-0.17;-24.18999999999999;-0.0016638851400448962;-0.0022221690304796704;0.1116;15.074010133743286;0.06602740287780762
