;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
173;29/11/2013;0,0024;JRS CAP PRÓPRIO;-							  ;1;BEES4
174;31/10/2013;0,0024;JRS CAP PRÓPRIO;-							  ;1;BEES4
175;30/09/2013;0,0024;JRS CAP PRÓPRIO;-							  ;1;BEES4
176;30/08/2013;0,0024;JRS CAP PRÓPRIO;-							  ;1;BEES4
177;31/07/2013;0,0024;JRS CAP PRÓPRIO;-							  ;1;BEES4
178;28/06/2013;0,0024;JRS CAP PRÓPRIO;-							  ;1;BEES4
179;31/05/2013;0,0024;JRS CAP PRÓPRIO;-							  ;1;BEES4
180;30/04/2013;0,0024;JRS CAP PRÓPRIO;-							  ;1;BEES4
181;28/03/2013;0,0024;JRS CAP PRÓPRIO;-							  ;1;BEES4
182;28/12/2012;0,0025;JRS CAP PRÓPRIO;-							  ;1;BEES4
183;30/11/2012;0,0025;JRS CAP PRÓPRIO;-							  ;1;BEES4
184;31/10/2012;0,0025;JRS CAP PRÓPRIO;-							  ;1;BEES4
185;28/09/2012;0,0025;JRS CAP PRÓPRIO;-							  ;1;BEES4
186;31/08/2012;0,0025;JRS CAP PRÓPRIO;-							  ;1;BEES4
187;31/07/2012;0,0251;JRS CAP PRÓPRIO;-							  ;1;BEES4
188;29/06/2012;0,0274;JRS CAP PRÓPRIO;-							  ;1;BEES4
189;31/05/2012;0,0274;JRS CAP PRÓPRIO;-							  ;1;BEES4
190;30/04/2012;0,0274;JRS CAP PRÓPRIO;-							  ;1;BEES4
191;30/03/2012;0,0274;JRS CAP PRÓPRIO;-							  ;1;BEES4
192;29/02/2012;0,0274;JRS CAP PRÓPRIO;-							  ;1;BEES4
193;28/02/2012;0,0274;JRS CAP PRÓPRIO;-							  ;1;BEES4
194;29/12/2011;0,0259;JRS CAP PRÓPRIO;-							  ;1;BEES4
195;30/11/2011;0,0259;JRS CAP PRÓPRIO;-							  ;1;BEES4
196;31/10/2011;0,0259;JRS CAP PRÓPRIO;-							  ;1;BEES4
197;30/09/2011;0,0259;JRS CAP PRÓPRIO;-							  ;1;BEES4
198;31/08/2011;0,0259;JRS CAP PRÓPRIO;-							  ;1;BEES4
199;29/07/2011;0,0259;JRS CAP PRÓPRIO;-							  ;1;BEES4
200;30/06/2011;0,0259;JRS CAP PRÓPRIO;-							  ;1;BEES4
201;31/05/2011;0,0259;JRS CAP PRÓPRIO;-							  ;1;BEES4
202;29/04/2011;0,0259;JRS CAP PRÓPRIO;-							  ;1;BEES4
203;29/04/2011;0,0029;DIVIDENDO;-							  ;1;BEES4
204;31/03/2011;0,0259;JRS CAP PRÓPRIO;-							  ;1;BEES4
205;28/02/2011;0,0259;JRS CAP PRÓPRIO;-							  ;1;BEES4
206;31/01/2011;0,0259;JRS CAP PRÓPRIO;-							  ;1;BEES4
207;31/01/2011;0,0218;JRS CAP PRÓPRIO;-							  ;1;BEES4
208;30/11/2010;0,0218;JRS CAP PRÓPRIO;-							  ;1;BEES4
209;29/10/2010;0,0218;JRS CAP PRÓPRIO;-							  ;1;BEES4
210;30/09/2010;0,0218;JRS CAP PRÓPRIO;-							  ;1;BEES4
211;31/08/2010;0,0218;JRS CAP PRÓPRIO;-							  ;1;BEES4
212;30/07/2010;0,0218;JRS CAP PRÓPRIO;-							  ;1;BEES4
213;30/06/2010;0,0218;JRS CAP PRÓPRIO;-							  ;1;BEES4
214;31/05/2010;0,0218;JRS CAP PRÓPRIO;-							  ;1;BEES4
215;30/04/2010;0,0218;JRS CAP PRÓPRIO;-							  ;1;BEES4
216;30/04/2010;0,0016;DIVIDENDO;-							  ;1;BEES4
