Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
30/11/2009;0,0140;DIVIDENDO;-							  ;1;ITSA4
31/08/2009;0,0140;DIVIDENDO;-							  ;1;ITSA4
21/08/2009;0,0512;JRS CAP PRÓPRIO;-							  ;1;ITSA4
29/05/2009;0,0140;DIVIDENDO;-							  ;1;ITSA4
09/03/2009;0,1380;JRS CAP PRÓPRIO;-							  ;1;ITSA4
09/03/2009;0,1312;JRS CAP PRÓPRIO;-							  ;1;ITSA4
27/02/2009;0,0140;DIVIDENDO;-							  ;1;ITSA4
30/12/2008;0,0427;JRS CAP PRÓPRIO;-							  ;1;ITSA4
28/11/2008;0,0140;DIVIDENDO;-							  ;1;ITSA4
18/09/2008;0,0140;DIVIDENDO;-							  ;1;ITSA4
15/08/2008;0,0435;DIVIDENDO;-							  ;1;ITSA4
20/06/2008;0,0140;DIVIDENDO;-							  ;1;ITSA4
22/02/2008;0,1730;JRS CAP PRÓPRIO;-							  ;1;ITSA4
22/02/2008;0,0850;JRS CAP PRÓPRIO;-							  ;1;ITSA4
22/02/2008;0,0120;DIVIDENDO;-							  ;1;ITSA4
26/11/2007;0,0230;JRS CAP PRÓPRIO;-							  ;1;ITSA4
26/11/2007;0,0120;DIVIDENDO;-							  ;1;ITSA4
18/09/2007;0,0120;DIVIDENDO;-							  ;1;ITSA4
17/08/2007;0,0510;JRS CAP PRÓPRIO;-							  ;1;ITSA4
21/06/2007;0,0120;DIVIDENDO;-							  ;1;ITSA4
27/02/2007;0,1127;JRS CAP PRÓPRIO;-							  ;1;ITSA4
27/02/2007;0,0730;JRS CAP PRÓPRIO;-							  ;1;ITSA4
27/02/2007;0,0120;JRS CAP PRÓPRIO;-							  ;1;ITSA4
19/12/2006;0,1275;JRS CAP PRÓPRIO;-							  ;1;ITSA4
19/12/2006;0,0120;JRS CAP PRÓPRIO;-							  ;1;ITSA4
21/09/2006;0,0120;JRS CAP PRÓPRIO;-							  ;1;ITSA4
11/08/2006;0,0480;JRS CAP PRÓPRIO;-							  ;1;ITSA4
23/06/2006;0,0120;JRS CAP PRÓPRIO;-							  ;1;ITSA4
07/03/2006;0,0300;JRS CAP PRÓPRIO;-							  ;1;ITSA4
07/03/2006;0,0095;JRS CAP PRÓPRIO;-							  ;1;ITSA4
26/12/2005;0,1360;JRS CAP PRÓPRIO;-							  ;1;ITSA4
