Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
02/05/2012;0,0160;DIVIDENDO;-							  ;1;BBDC3
02/04/2012;0,0160;DIVIDENDO;-							  ;1;BBDC3
01/03/2012;0,0145;DIVIDENDO;-							  ;1;BBDC3
10/02/2012;0,0377;DIVIDENDO;-							  ;1;BBDC3
01/02/2012;0,0145;DIVIDENDO;-							  ;1;BBDC3
02/01/2012;0,0145;DIVIDENDO;-							  ;1;BBDC3
12/12/2011;0,5762;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/12/2011;0,0145;DIVIDENDO;-							  ;1;BBDC3
01/11/2011;0,0145;DIVIDENDO;-							  ;1;BBDC3
03/10/2011;0,0145;DIVIDENDO;-							  ;1;BBDC3
01/09/2011;0,0145;DIVIDENDO;-							  ;1;BBDC3
01/08/2011;0,0132;DIVIDENDO;-							  ;1;BBDC3
01/07/2011;0,0132;DIVIDENDO;-							  ;1;BBDC3
27/06/2011;0,1555;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/06/2011;0,0132;DIVIDENDO;-							  ;1;BBDC3
02/05/2011;0,0132;DIVIDENDO;-							  ;1;BBDC3
01/04/2011;0,0132;DIVIDENDO;-							  ;1;BBDC3
01/03/2011;0,0132;DIVIDENDO;-							  ;1;BBDC3
11/02/2011;0,0798;DIVIDENDO;-							  ;1;BBDC3
01/02/2011;0,0132;DIVIDENDO;-							  ;1;BBDC3
03/01/2011;0,0132;DIVIDENDO;-							  ;1;BBDC3
06/12/2010;0,4825;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/12/2010;0,0132;DIVIDENDO;-							  ;1;BBDC3
01/11/2010;0,0132;DIVIDENDO;-							  ;1;BBDC3
01/10/2010;0,0132;DIVIDENDO;-							  ;1;BBDC3
01/09/2010;0,0132;DIVIDENDO;-							  ;1;BBDC3
02/08/2010;0,0132;DIVIDENDO;-							  ;1;BBDC3
01/07/2010;0,0132;DIVIDENDO;-							  ;1;BBDC3
28/06/2010;0,1555;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/06/2010;0,0132;DIVIDENDO;-							  ;1;BBDC3
03/05/2010;0,0132;DIVIDENDO;-							  ;1;BBDC3
01/04/2010;0,0132;DIVIDENDO;-							  ;1;BBDC3
01/03/2010;0,0132;DIVIDENDO;-							  ;1;BBDC3
10/02/2010;0,0214;DIVIDENDO;-							  ;1;BBDC3
01/02/2010;0,0132;DIVIDENDO;-							  ;1;BBDC3
04/01/2010;0,0132;DIVIDENDO;-							  ;1;BBDC3
04/12/2009;0,4998;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/12/2009;0,0132;DIVIDENDO;-							  ;1;BBDC3
03/11/2009;0,0132;DIVIDENDO;-							  ;1;BBDC3
01/10/2009;0,0132;DIVIDENDO;-							  ;1;BBDC3
01/09/2009;0,0132;DIVIDENDO;-							  ;1;BBDC3
03/08/2009;0,0132;DIVIDENDO;-							  ;1;BBDC3
03/07/2009;0,1555;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/07/2009;0,0132;DIVIDENDO;-							  ;1;BBDC3
01/06/2009;0,0132;DIVIDENDO;-							  ;1;BBDC3
04/05/2009;0,0132;DIVIDENDO;-							  ;1;BBDC3
01/04/2009;0,0132;DIVIDENDO;-							  ;1;BBDC3
02/03/2009;0,0132;DIVIDENDO;-							  ;1;BBDC3
02/02/2009;0,0132;DIVIDENDO;-							  ;1;BBDC3
02/01/2009;0,0120;DIVIDENDO;-							  ;1;BBDC3
