Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
30/06/2009;0,0192;JRS CAP PRÓPRIO;-							  ;1;BEES3
29/05/2009;0,0192;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/04/2009;0,0192;JRS CAP PRÓPRIO;-							  ;1;BEES3
28/04/2009;0,0486;DIVIDENDO;-							  ;1;BEES3
31/03/2009;0,0192;JRS CAP PRÓPRIO;-							  ;1;BEES3
27/02/2009;0,0192;JRS CAP PRÓPRIO;-							  ;1;BEES3
17/02/2009;0,0192;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/12/2008;0,0147;JRS CAP PRÓPRIO;-							  ;1;BEES3
28/11/2008;0,0147;JRS CAP PRÓPRIO;-							  ;1;BEES3
31/10/2008;0,0147;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/09/2008;0,0147;JRS CAP PRÓPRIO;-							  ;1;BEES3
29/08/2008;0,0147;JRS CAP PRÓPRIO;-							  ;1;BEES3
26/08/2008;0,0298;DIVIDENDO;-							  ;1;BEES3
31/07/2008;0,0147;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/06/2008;0,0147;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/05/2008;0,0147;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/04/2008;0,0715;DIVIDENDO;-							  ;1;BEES3
30/04/2008;0,0147;JRS CAP PRÓPRIO;-							  ;1;BEES3
31/03/2008;0,0015;JRS CAP PRÓPRIO;-							  ;1;BEES3
29/02/2008;0,0015;JRS CAP PRÓPRIO;-							  ;1;BEES3
15/02/2008;0,0015;JRS CAP PRÓPRIO;-							  ;1;BEES3
28/12/2007;0,0011;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/11/2007;0,0011;JRS CAP PRÓPRIO;-							  ;1;BEES3
31/10/2007;0,0011;JRS CAP PRÓPRIO;-							  ;1;BEES3
28/09/2007;0,0011;JRS CAP PRÓPRIO;-							  ;1;BEES3
31/08/2007;0,0011;JRS CAP PRÓPRIO;-							  ;1;BEES3
21/08/2007;0,0052;DIVIDENDO;-							  ;1;BEES3
31/07/2007;0,0011;JRS CAP PRÓPRIO;-							  ;1;BEES3
29/06/2007;0,0011;JRS CAP PRÓPRIO;-							  ;1;BEES3
