;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
297;30/04/2007;0,0240;DIVIDENDO;-							  ;1;ITUB4
298;30/03/2007;0,0240;DIVIDENDO;-							  ;1;ITUB4
299;28/02/2007;1,2200;JRS CAP PRÓPRIO;-							  ;1;ITUB4
300;28/02/2007;0,0840;DIVIDENDO;-							  ;1;ITUB4
301;28/02/2007;0,0240;DIVIDENDO;-							  ;1;ITUB4
302;31/01/2007;0,0240;JRS CAP PRÓPRIO;-							  ;1;ITUB4
303;28/12/2006;0,0240;JRS CAP PRÓPRIO;-							  ;1;ITUB4
304;30/11/2006;0,0240;JRS CAP PRÓPRIO;-							  ;1;ITUB4
305;31/10/2006;0,0240;JRS CAP PRÓPRIO;-							  ;1;ITUB4
306;29/09/2006;0,0240;JRS CAP PRÓPRIO;-							  ;1;ITUB4
307;31/08/2006;0,0240;JRS CAP PRÓPRIO;-							  ;1;ITUB4
308;11/08/2006;0,1660;DIVIDENDO;-							  ;1;ITUB4
309;11/08/2006;0,1370;JRS CAP PRÓPRIO;-							  ;1;ITUB4
310;31/07/2006;0,0240;JRS CAP PRÓPRIO;-							  ;1;ITUB4
311;30/06/2006;0,0240;JRS CAP PRÓPRIO;-							  ;1;ITUB4
312;31/05/2006;0,0240;JRS CAP PRÓPRIO;-							  ;1;ITUB4
313;28/04/2006;0,0240;JRS CAP PRÓPRIO;-							  ;1;ITUB4
314;31/03/2006;0,0240;JRS CAP PRÓPRIO;-							  ;1;ITUB4
315;03/03/2006;0,8300;JRS CAP PRÓPRIO;-							  ;1;ITUB4
316;24/02/2006;0,0240;JRS CAP PRÓPRIO;-							  ;1;ITUB4
317;31/01/2006;0,0210;JRS CAP PRÓPRIO;-							  ;1;ITUB4
318;29/12/2005;0,0210;JRS CAP PRÓPRIO;-							  ;1;ITUB4
319;26/12/2005;0,3300;JRS CAP PRÓPRIO;-							  ;1;ITUB4
320;30/11/2005;0,0210;JRS CAP PRÓPRIO;-							  ;1;ITUB4
321;31/10/2005;0,0210;JRS CAP PRÓPRIO;-							  ;1;ITUB4
322;30/09/2005;0,0210;JRS CAP PRÓPRIO;-							  ;1;ITUB4
323;31/08/2005;0,2100;JRS CAP PRÓPRIO;-							  ;1;ITUB4
324;12/08/2005;2,7600;JRS CAP PRÓPRIO;-							  ;1;ITUB4
325;29/07/2005;0,2100;JRS CAP PRÓPRIO;-							  ;1;ITUB4
326;30/06/2005;0,2100;JRS CAP PRÓPRIO;-							  ;1;ITUB4
327;31/05/2005;0,2100;JRS CAP PRÓPRIO;-							  ;1;ITUB4
328;29/04/2005;0,1700;JRS CAP PRÓPRIO;-							  ;1;ITUB4
329;31/03/2005;0,1700;JRS CAP PRÓPRIO;-							  ;1;ITUB4
330;04/03/2005;3,5000;JRS CAP PRÓPRIO;-							  ;1;ITUB4
331;28/02/2005;0,1700;JRS CAP PRÓPRIO;-							  ;1;ITUB4
332;31/01/2005;0,1700;JRS CAP PRÓPRIO;-							  ;1;ITUB4
333;30/12/2004;0,1700;JRS CAP PRÓPRIO;-							  ;1;ITUB4
334;23/12/2004;4,7300;JRS CAP PRÓPRIO;-							  ;1;ITUB4
335;30/11/2004;0,1700;JRS CAP PRÓPRIO;-							  ;1;ITUB4
336;29/10/2004;0,1700;JRS CAP PRÓPRIO;-							  ;1;ITUB4
337;30/09/2004;0,1700;JRS CAP PRÓPRIO;-							  ;1000;ITUB4
338;31/08/2004;0,1700;JRS CAP PRÓPRIO;-							  ;1000;ITUB4
339;13/08/2004;2,0400;JRS CAP PRÓPRIO;-							  ;1000;ITUB4
340;30/07/2004;0,1700;JRS CAP PRÓPRIO;-							  ;1000;ITUB4
341;30/06/2004;0,1700;JRS CAP PRÓPRIO;-							  ;1000;ITUB4
