Acao;Data;Hora;Descrição;Link
CEEB3;15/12/2022;18:48;Distribuição de Juros sobre Capital Próprio;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1041849&descTipo=IPE&CodigoInstituicao=1
CEEB3;09/12/2022;18:52; Pagamento de Juros sobre Capital Próprio - 3T2022;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1040122&descTipo=IPE&CodigoInstituicao=1
CEEB3;23/09/2022;18:46;Juros sob Capital Próprio;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1017474&descTipo=IPE&CodigoInstituicao=1
CEEB3;01/08/2022;18:26;PAGAMENTO DE JUROS SOBRE CAPITAL PRÓPRIO;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1002231&descTipo=IPE&CodigoInstituicao=1
CEEB3;27/07/2022;18:32;Dividendos Intermediários;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1000797&descTipo=IPE&CodigoInstituicao=1
CEEB3;11/07/2022;18:38;Contrato de Financiamento com a International Finance Corporation (?IFC?);https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=997308&descTipo=IPE&CodigoInstituicao=1
CEEB3;15/06/2022;20:10;JUROS SOBRE CAPITAL PRÓPRIO;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=991167&descTipo=IPE&CodigoInstituicao=1
CEEB3;13/05/2022;18:41;Pagamento de Dividendos;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=981559&descTipo=IPE&CodigoInstituicao=1
CEEB3;19/04/2022;18:54;Reajuste Tarifário Anual Neoenergia Coelba 2022;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=968484&descTipo=IPE&CodigoInstituicao=1
CEEB3;18/04/2022;17:47;Distribuição adicional de dividendos;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=967974&descTipo=IPE&CodigoInstituicao=1
CEEB3;30/03/2022;19:29;Juros sobre Capital Próprio (JSCP);https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=961498&descTipo=IPE&CodigoInstituicao=1
